"","LE_x","GEOID","city","ACS.majBlack","LE"
"34",71.3,1073002000,"Birmingham-Hoover, AL",TRUE,71.3
"35",72.7,1073002100,"Birmingham-Hoover, AL",TRUE,72.7
"36",71.6,1073002200,"Birmingham-Hoover, AL",TRUE,71.6
"37",71.3,1073002303,"Birmingham-Hoover, AL",TRUE,71.3
"38",77.1,1073002305,"Birmingham-Hoover, AL",FALSE,77.1
"39",80.2,1073002306,"Birmingham-Hoover, AL",FALSE,80.2
"40",73.1,1073002400,"Birmingham-Hoover, AL",TRUE,73.1
"41",69,1073002700,"Birmingham-Hoover, AL",TRUE,69
"42",66.6,1073002900,"Birmingham-Hoover, AL",TRUE,66.6
"43",73.1,1073003001,"Birmingham-Hoover, AL",TRUE,73.1
"44",70.7,1073003002,"Birmingham-Hoover, AL",TRUE,70.7
"45",70.4,1073003100,"Birmingham-Hoover, AL",TRUE,70.4
"46",72.3,1073003200,"Birmingham-Hoover, AL",TRUE,72.3
"47",73.5,1073003300,"Birmingham-Hoover, AL",TRUE,73.5
"48",73.2,1073003400,"Birmingham-Hoover, AL",TRUE,73.2
"49",71.5,1073003500,"Birmingham-Hoover, AL",TRUE,71.5
"50",71.7,1073003600,"Birmingham-Hoover, AL",TRUE,71.7
